name	x	y	z	material
PO7	-0.056948628595126505	-0.06592324268349231	0.04790743802199564	EEG
PO3	-0.038624608976388995	-0.06736158053162712	0.08241555265208678	EEG
POz	-0.0018998318804281135	-0.06805409903094144	0.0959099993612478	EEG
PO4	0.03466778587174901	-0.06766213823777688	0.08164652939132971	EEG
PO8	0.05355731544232249	-0.0664169403782647	0.04785097585047131	EEG
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	EEG
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	EEG
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	EEG
